date,SPY,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC
2000-01-03,87.6727,18.8133,20.2774,11.1821,10.0702,12.3977,6.9107,16.9719,6.0855,5.5506,,
2000-02-01,86.3377,20.79,18.9515,9.9851,9.5091,10.947,6.6181,16.0355,5.4741,4.876,,
2000-03-01,94.705,22.5341,20.6562,11.8085,10.8548,11.3586,7.4417,18.2677,6.0265,5.4083,,
2000-04-03,91.379,20.4644,20.4142,11.9226,10.6288,11.9608,7.3306,18.5316,5.8263,5.7624,,
2000-05-01,89.9422,18.3366,19.867,12.1888,10.0551,12.8139,8.1914,18.4534,5.6424,5.7497,,
2000-06-01,91.7127,20.1621,19.9091,11.5976,9.5111,13.5393,7.7407,17.7276,5.1598,5.5544,,
2000-07-03,90.2726,19.1505,19.6144,12.62,9.662,13.0447,7.4457,18.0019,5.205,5.6404,,
2000-08-01,96.1711,21.0283,20.3089,13.9018,9.2614,12.8854,8.2589,19.7844,5.324,5.8602,,
2000-09-01,90.8951,17.2552,19.5723,14.2041,9.2727,13.4562,8.3947,19.2099,4.7979,6.6345,,
2000-10-02,90.4699,16.2669,19.867,14.0816,9.1563,14.3903,8.1665,19.642,5.2232,7.0199,,
2000-11-01,83.7161,12.9298,18.0571,13.3622,8.9293,14.8868,7.7381,18.9741,5.0911,7.0167,,
2000-12-01,83.2787,11.6508,18.3897,14.5024,9.5585,15.4283,8.5282,19.7237,6.1583,6.9209,,
2001-01-02,86.9812,13.8786,19.7192,14.468,10.6701,14.3034,8.2564,19.7995,5.9939,6.5315,,
2001-02-01,78.6843,10.422,19.3413,13.4946,9.9082,14.3899,8.1562,18.6129,6.0715,6.667,,
2001-03-01,74.2747,9.2276,18.1028,13.0904,9.7637,13.3918,7.9128,16.8303,5.7676,6.5715,,
2001-04-02,80.6208,10.7196,19.4393,13.5639,10.2165,13.6518,8.7299,18.7545,6.3827,6.8886,,
2001-05-01,80.1689,10.2806,20.1817,14.1607,10.4598,13.8523,8.6474,19.5394,6.6282,6.9369,,
2001-06-01,78.2588,10.4815,19.9538,14.0594,10.3774,13.2116,7.8593,18.3321,6.3995,6.5888,,
2001-07-02,77.4609,9.7559,19.5554,13.9257,10.8387,13.6137,7.7687,18.294,6.3821,6.5296,,
2001-08-01,72.8649,8.5653,18.5627,13.0049,9.8899,13.679,7.4398,17.6661,6.356,6.2969,,
2001-09-04,66.9169,7.1625,15.875,12.2721,8.6406,13.6625,6.724,15.0777,5.6031,6.2367,,
2001-10-01,67.7883,7.9439,15.9561,12.0981,9.0958,13.5752,6.9948,15.3452,5.7548,5.9085,,
2001-11-01,73.0743,9.1308,17.807,12.8838,10.307,14.175,6.6042,16.8803,6.4844,5.8339,,
2001-12-03,73.4862,8.9299,18.2378,13.1347,10.7753,13.8967,6.9817,17.7127,6.2902,6.0208,,
2002-01-02,72.7661,8.8332,18.1025,12.9849,11.1295,13.8037,6.7333,16.5936,6.4371,5.8039,,
2002-02-01,71.461,7.6858,18.9349,12.7602,11.1898,14.0937,6.9634,17.0093,6.7777,5.7932,,
2002-03-01,73.8385,8.063,20.0334,13.6043,11.3321,14.321,7.5798,17.4695,6.9862,6.1021,,
2002-04-01,69.5444,7.0881,19.9115,13.2586,11.0153,13.7887,7.3069,16.2638,6.6562,5.7318,,
2002-05-01,69.1317,6.7942,20.1891,13.2185,10.9587,13.6351,7.1784,16.3343,6.9862,5.6841,,
2002-06-03,64.0295,5.8863,18.7449,12.6531,10.3815,12.2457,6.9154,15.3325,6.8671,5.3018,,
2002-07-01,58.9827,5.3282,18.2032,11.6012,9.1419,11.7228,5.9573,14.4647,6.0883,4.5213,,
2002-08-01,59.3839,5.2835,18.3793,11.8176,9.4178,11.8164,6.047,14.2396,6.0557,4.7006,,
2002-09-03,53.1574,4.4017,17.2408,10.4594,8.5782,10.9623,5.6157,12.5964,5.2696,4.1316,,
2002-10-01,57.5314,5.4919,18.2462,11.4158,9.1571,11.3888,5.7192,13.2159,5.5705,4.0364,,
2002-11-01,61.08,6.3626,18.81,11.8408,9.5809,11.073,5.9553,13.9064,6.2408,4.1537,,
2002-12-02,57.6246,5.5217,18.1031,11.1991,8.7647,11.1043,5.9566,13.3601,5.9549,4.2883,,
2003-01-02,56.2074,5.3911,18.0417,11.0566,8.4726,10.7256,5.8072,12.6399,5.6578,4.1875,,
